"State","Positive_pct"
"Illinois"," 3"
"Indiana",NA
"Iowa",NA
"Kansas"," 3"
"Michigan","4.9"
"Minnesota","4.9"
"Missouri","4.9"
"Nebraska","4.9"
"North Dakota"," 3"
"Ohio"," 3"
"South Dakota","4.9"
"Wisconsin","4.9"
