state,county,Date,positive_pct,transmission_level,dose_1_pct,fully_pct,metro
Wisconsin,Fond du Lac County,2022-03-09,2.39,moderate,60.2,55.2,Metro
Wisconsin,Rusk County,2022-03-09,0.85,low,43.9,41,Non-metro
Indiana,St. Joseph County,2022-03-09,1.84,moderate,64.9,57.8,Metro
North Dakota,Sheridan County,2022-03-09,3.6294571536429,high,40.1,36.2,Non-metro
Missouri,Stone County,2022-03-09,3.89,substantial,42.7,37.3,Non-metro
Minnesota,Lake of the Woods County,2022-03-09,0,substantial,58.5,54.9,Non-metro
Indiana,Switzerland County,2022-03-09,14.63,high,33.8,30.7,Non-metro
Minnesota,Kittson County,2022-03-09,4.35,low,65.8,58.9,Non-metro
Wisconsin,Forest County,2022-03-09,0.84,low,67.3,59.7,Non-metro
Missouri,Dent County,2022-03-09,3.68,substantial,40.3,33.7,Non-metro
Wisconsin,Ozaukee County,2022-03-09,3.33,moderate,77.5,71.2,Metro
Nebraska,Cuming County,2022-03-09,3.6294571536429,low,0,52.8,Non-metro
Minnesota,Lincoln County,2022-03-09,1.85,moderate,55.6,52.8,Non-metro
Kansas,Hamilton County,2022-03-09,3.6294571536429,low,47.2,40.8,Non-metro
Wisconsin,Chippewa County,2022-03-09,3.88,substantial,60,56.5,Metro
North Dakota,Cass County,2022-03-09,2.96,substantial,69.1,59.8,Metro
Nebraska,Dixon County,2022-03-09,9.09,substantial,0,43.5,Metro
Illinois,Tazewell County,2022-03-09,1.06,moderate,62.8,58.8,Metro
Wisconsin,Dunn County,2022-03-09,4.73,substantial,51.9,48.8,Non-metro
North Dakota,Towner County,2022-03-09,1.35,low,50.8,46.9,Non-metro
Missouri,Grundy County,2022-03-09,6.67,high,40.4,35,Non-metro
North Dakota,Ransom County,2022-03-09,0,low,66.8,58.7,Non-metro
Illinois,Christian County,2022-03-09,1.63,substantial,54.1,48.8,Non-metro
Nebraska,Webster County,2022-03-09,3.6294571536429,NA,0,38.3,Non-metro
Minnesota,Pope County,2022-03-09,7.83,high,60.6,56.9,Non-metro
Illinois,Madison County,2022-03-09,1.91,substantial,68.9,61.5,Metro
Kansas,Seward County,2022-03-09,1.75,low,62.6,45.3,Non-metro
Ohio,Lake County,2022-03-09,2.21,moderate,68.4,65,Metro
Michigan,Schoolcraft County,2022-03-09,0,moderate,56.1,55.4,Non-metro
Missouri,Mercer County,2022-03-09,3.23,substantial,42,35.3,Non-metro
Kansas,Rice County,2022-03-09,28.85,high,49.1,43.4,Non-metro
Kansas,Marshall County,2022-03-09,14.29,high,69.7,63.9,Non-metro
Michigan,Huron County,2022-03-09,2.76,low,55.2,53.8,Non-metro
Ohio,Lorain County,2022-03-09,2.45,moderate,66.7,63.1,Metro
Michigan,Berrien County,2022-03-09,4.77,moderate,60.7,55.4,Metro
Nebraska,Dodge County,2022-03-09,4.6,low,0,53.5,Non-metro
North Dakota,Rolette County,2022-03-09,13.08,high,86.1,68.2,Non-metro
Nebraska,Polk County,2022-03-09,3.6294571536429,low,0,41.2,Non-metro
Nebraska,Colfax County,2022-03-09,5.56,moderate,50,47,Non-metro
Nebraska,Burt County,2022-03-09,6.67,moderate,0,58.3,Non-metro
Kansas,Morton County,2022-03-09,3.6294571536429,low,47.3,41.5,Non-metro
Wisconsin,Marinette County,2022-03-09,2.21,moderate,56.6,52.4,Non-metro
Minnesota,Clay County,2022-03-09,6.52,high,74.6,58.8,Metro
Nebraska,Cass County,2022-03-09,2.7,low,66.5,61,Metro
Illinois,Clay County,2022-03-09,0.72,moderate,41,38.3,Non-metro
Michigan,Houghton County,2022-03-09,8.31,substantial,53.8,51.9,Non-metro
Kansas,Franklin County,2022-03-09,3.27,moderate,58.1,50.7,Non-metro
Missouri,Madison County,2022-03-09,1.67,moderate,45.4,39.1,Non-metro
Indiana,Washington County,2022-03-09,4.04,moderate,44.3,39.8,Metro
Michigan,Luce County,2022-03-09,28,high,47.2,44.3,Non-metro
North Dakota,Griggs County,2022-03-09,0,low,51,46.1,Non-metro
Indiana,Harrison County,2022-03-09,6.47,substantial,56.6,50.3,Metro
Kansas,Montgomery County,2022-03-09,2.77,moderate,52.5,45.3,Non-metro
North Dakota,Traill County,2022-03-09,5.56,substantial,61.2,53.6,Non-metro
Kansas,Scott County,2022-03-09,2.38,substantial,52.3,47.6,Non-metro
Michigan,St. Joseph County,2022-03-09,2.52,moderate,47,45,Non-metro
Minnesota,Blue Earth County,2022-03-09,3.73,high,64,60.2,Metro
Indiana,Spencer County,2022-03-09,1.2,moderate,48.8,44,Non-metro
Ohio,Geauga County,2022-03-09,1.72,moderate,64.1,60.9,Metro
Nebraska,Washington County,2022-03-09,5.13,moderate,58.4,55.8,Metro
Michigan,Tuscola County,2022-03-09,6.94,moderate,47.2,45.8,Non-metro
North Dakota,Eddy County,2022-03-09,22.22,high,54.4,51.3,Non-metro
South Dakota,Codington County,2022-03-09,2.46,substantial,65.5,54.2,Non-metro
Minnesota,Nicollet County,2022-03-09,4.69,substantial,65.7,62.3,Metro
Illinois,Sangamon County,2022-03-09,1.82,substantial,70.6,64.5,Metro
Kansas,Cheyenne County,2022-03-09,3.6294571536429,high,50.4,45.5,Non-metro
Minnesota,Mahnomen County,2022-03-09,10.29,high,66.7,58.6,Non-metro
North Dakota,Grant County,2022-03-09,2.56,low,27.3,23,Non-metro
Nebraska,Thurston County,2022-03-09,3.6294571536429,low,84.9,72.8,Non-metro
Illinois,Brown County,2022-03-09,0,substantial,59.4,52.6,Non-metro
Indiana,Elkhart County,2022-03-09,3.49,moderate,48.1,42.3,Metro
Indiana,Posey County,2022-03-09,7.22,moderate,51.4,47.1,Metro
Illinois,Mason County,2022-03-09,1.06,moderate,56.7,53.5,Non-metro
Nebraska,Saunders County,2022-03-09,11.11,high,53.3,52,Metro
Kansas,Stafford County,2022-03-09,5.56,substantial,50.9,46,Non-metro
Nebraska,York County,2022-03-09,4.17,low,0,51.7,Non-metro
Illinois,Jersey County,2022-03-09,0.85,moderate,59.9,55.7,Metro
Illinois,Richland County,2022-03-09,0.99,moderate,50.6,47.6,Non-metro
Indiana,Perry County,2022-03-09,10,high,61.9,56.3,Non-metro
South Dakota,Deuel County,2022-03-09,0,low,52.6,46.1,Non-metro
Indiana,Jennings County,2022-03-09,3.78,moderate,44.8,40,Non-metro
Ohio,Logan County,2022-03-09,4.98,substantial,44.5,42.5,Non-metro
Minnesota,Becker County,2022-03-09,2.95,substantial,59,53.8,Non-metro
Kansas,Lane County,2022-03-09,3.6294571536429,substantial,46.3,42.6,Non-metro
Michigan,Cass County,2022-03-09,5.22,moderate,49.2,43.1,Metro
Kansas,Anderson County,2022-03-09,0,moderate,48.2,42.7,Non-metro
Indiana,Floyd County,2022-03-09,3.76,substantial,63.2,56.2,Metro
Ohio,Sandusky County,2022-03-09,1.69,moderate,54.8,52.3,Non-metro
Indiana,Decatur County,2022-03-09,0.43,moderate,52.3,47.8,Non-metro
Indiana,Kosciusko County,2022-03-09,5.74,moderate,44.8,40.3,Non-metro
Michigan,Iron County,2022-03-09,1.69,substantial,58.9,55.4,Non-metro
Kansas,Kearny County,2022-03-09,7.89,substantial,61.4,53,Non-metro
Minnesota,Isanti County,2022-03-09,3.24,moderate,46.1,42.7,Metro
Illinois,Calhoun County,2022-03-09,2.38,moderate,56.3,51.7,Metro
Kansas,Washington County,2022-03-09,14.29,high,58.3,53.6,Non-metro
Illinois,Moultrie County,2022-03-09,2.62,moderate,47,43.9,Non-metro
South Dakota,Hamlin County,2022-03-09,0,moderate,56.1,46.2,Non-metro
Indiana,Gibson County,2022-03-09,7.11,moderate,51.4,46.2,Non-metro
Michigan,Alger County,2022-03-09,18.97,high,66.4,62,Non-metro
Illinois,Vermilion County,2022-03-09,0.94,moderate,50,45.3,Metro
Illinois,Cass County,2022-03-09,1,substantial,66.7,61.3,Non-metro
Illinois,Marshall County,2022-03-09,1.08,high,61.5,56.8,Metro
Indiana,Crawford County,2022-03-09,11.4,high,41.2,36.9,Non-metro
Nebraska,Clay County,2022-03-09,3.6294571536429,low,0,41.2,Non-metro
Illinois,Jasper County,2022-03-09,2.33,moderate,45.7,41.8,Non-metro
Illinois,Fulton County,2022-03-09,3.15,high,62,57.5,Non-metro
Wisconsin,Washington County,2022-03-09,3.08,moderate,61.5,57.3,Metro
Michigan,Keweenaw County,2022-03-09,6.25,moderate,62.1,57.9,Non-metro
Michigan,Alpena County,2022-03-09,8.22,substantial,56.3,55.4,Non-metro
North Dakota,Steele County,2022-03-09,3.6294571536429,low,54.2,46.3,Non-metro
Nebraska,Dakota County,2022-03-09,10,high,71.5,63.5,Metro
Kansas,Miami County,2022-03-09,1.95,moderate,53.8,47.1,Metro
North Dakota,Sargent County,2022-03-09,1.59,low,64.8,58.2,Non-metro
Michigan,Montmorency County,2022-03-09,6.87,substantial,55.9,54.2,Non-metro
Illinois,Peoria County,2022-03-09,1.5,substantial,66.5,60.9,Metro
Kansas,Gray County,2022-03-09,4,low,50.9,45.4,Non-metro
Ohio,Erie County,2022-03-09,3.5,moderate,62.3,58.8,Non-metro
Indiana,Jackson County,2022-03-09,3.14,moderate,58.6,52.6,Non-metro
Michigan,Baraga County,2022-03-09,3.33,substantial,67.6,60.5,Non-metro
Minnesota,Waseca County,2022-03-09,4.2,substantial,59.9,56.8,Non-metro
North Dakota,Richland County,2022-03-09,2.74,moderate,58.7,50.8,Non-metro
Nebraska,Douglas County,2022-03-09,6.41,moderate,71.5,65.6,Metro
Michigan,Kalamazoo County,2022-03-09,4.61,substantial,62,60.9,Metro
Minnesota,Goodhue County,2022-03-09,5.37,high,70.1,66.2,Non-metro
Kansas,Hodgeman County,2022-03-09,3.6294571536429,low,49.4,44.5,Non-metro
North Dakota,Pierce County,2022-03-09,9.09,substantial,49.9,45,Non-metro
Kansas,Ford County,2022-03-09,9.52,substantial,52.3,44.2,Non-metro
Wisconsin,Pepin County,2022-03-09,7.41,substantial,52.7,49.3,Non-metro
Kansas,Haskell County,2022-03-09,0,low,44,38.8,Non-metro
Kansas,Douglas County,2022-03-09,3.8,substantial,80.3,60.7,Metro
Illinois,McDonough County,2022-03-09,1,substantial,53.8,47.4,Non-metro
South Dakota,Clark County,2022-03-09,20,high,58.4,49.9,Non-metro
Kansas,Clay County,2022-03-09,9.38,substantial,66.7,59.9,Non-metro
Indiana,Warrick County,2022-03-09,4.46,substantial,68,62,Metro
Michigan,Marquette County,2022-03-09,5.27,substantial,66.5,63.6,Non-metro
Kansas,Reno County,2022-03-09,3.27,moderate,54.8,49.1,Non-metro
Kansas,Meade County,2022-03-09,0,low,52.1,39.9,Non-metro
Michigan,Presque Isle County,2022-03-09,5.79,moderate,61.3,59.6,Non-metro
Indiana,Vanderburgh County,2022-03-09,4.93,moderate,62.6,56.9,Metro
Indiana,Boone County,2022-03-09,5.62,substantial,76.9,70.2,Metro
Nebraska,Sarpy County,2022-03-09,6.06,moderate,70.9,65.1,Metro
Ohio,Huron County,2022-03-09,4.14,substantial,49.9,47.3,Non-metro
Michigan,Dickinson County,2022-03-09,5.03,substantial,72.7,65.8,Non-metro
Michigan,Menominee County,2022-03-09,3.53,substantial,68.2,56.4,Non-metro
Illinois,Piatt County,2022-03-09,1.51,high,66.4,61.8,Metro
Kansas,Chautauqua County,2022-03-09,2.04,substantial,47.6,41.1,Non-metro
South Dakota,Grant County,2022-03-09,0,moderate,63.4,48.3,Non-metro
Missouri,Linn County,2022-03-09,0,high,53.6,45.6,Non-metro
Indiana,Fountain County,2022-03-09,1.56,high,51.5,46.4,Non-metro
Minnesota,Stevens County,2022-03-09,0.87,substantial,60.8,57.5,Non-metro
Ohio,Cuyahoga County,2022-03-09,2.34,moderate,69.1,64.2,Metro
Minnesota,Mille Lacs County,2022-03-09,2.01,substantial,62.3,57.3,Metro
Minnesota,Lyon County,2022-03-09,3.12,moderate,59.7,56.2,Non-metro
Kansas,Johnson County,2022-03-09,4.28,substantial,93.9,74.3,Metro
North Dakota,Ramsey County,2022-03-09,3.48,low,63.4,56.3,Non-metro
Wisconsin,Florence County,2022-03-09,0,moderate,58.5,54.4,Non-metro
Illinois,Kankakee County,2022-03-09,1.6,substantial,56.6,51.9,Metro
Michigan,Delta County,2022-03-09,4.67,moderate,64.3,61.2,Non-metro
Minnesota,Kanabec County,2022-03-09,5.86,moderate,45.6,42.6,Non-metro
Minnesota,Wilkin County,2022-03-09,5.47,substantial,64.3,53.7,Non-metro
Missouri,Taney County,2022-03-09,4.08,substantial,47.5,40.1,Non-metro
Indiana,Warren County,2022-03-09,3.17,high,50.2,45.4,Non-metro
Michigan,Lapeer County,2022-03-09,6.39,moderate,49.1,47.3,Metro
Michigan,Saginaw County,2022-03-09,4.77,moderate,53.8,52.7,Metro
Wisconsin,Eau Claire County,2022-03-09,3.91,substantial,64.5,61.5,Metro
Illinois,Macon County,2022-03-09,1.5,substantial,57.5,53,Metro
North Dakota,Benson County,2022-03-09,3.45,moderate,57.3,51.6,Non-metro
North Dakota,Williams County,2022-03-09,5.34,substantial,36.3,29.8,Non-metro
North Dakota,McKenzie County,2022-03-09,4.44,substantial,28.1,21.8,Non-metro
Illinois,Schuyler County,2022-03-09,1.71,substantial,58.6,55.6,Non-metro
North Dakota,Barnes County,2022-03-09,2.38,substantial,65.2,56.8,Non-metro
Wisconsin,Waukesha County,2022-03-09,3.79,substantial,75.7,69.5,Metro
Nebraska,Nemaha County,2022-03-09,7.14,moderate,50.2,49.8,Non-metro
Wisconsin,St. Croix County,2022-03-09,3.83,substantial,57.3,49.8,Metro
Kansas,Elk County,2022-03-09,3.6294571536429,low,37.8,33.6,Non-metro
Kansas,Clark County,2022-03-09,3.6294571536429,high,50.6,46,Non-metro
Illinois,Wabash County,2022-03-09,2.38,substantial,54.7,48.7,Non-metro
Michigan,Alcona County,2022-03-09,7.63,substantial,59.5,58,Non-metro
Illinois,Logan County,2022-03-09,1.81,substantial,58,53.9,Non-metro
Wisconsin,Pierce County,2022-03-09,6.7,substantial,49.3,43.7,Metro
Missouri,Camden County,2022-03-09,4.21,moderate,51.9,45,Non-metro
Minnesota,Watonwan County,2022-03-09,5.93,high,60.7,58,Non-metro
Illinois,Iroquois County,2022-03-09,1.54,substantial,54.6,50.8,Non-metro
Illinois,Menard County,2022-03-09,1.57,substantial,61.4,57,Metro
Kansas,Finney County,2022-03-09,3.12,moderate,61.7,46.2,Non-metro
Indiana,Bartholomew County,2022-03-09,3.38,moderate,65.9,59.1,Metro
Illinois,Edwards County,2022-03-09,8.77,substantial,43.2,40,Non-metro
Ohio,Ashtabula County,2022-03-09,4.57,substantial,56,52.1,Non-metro
Wisconsin,Buffalo County,2022-03-09,1.44,high,54.3,50,Non-metro
Nebraska,Nuckolls County,2022-03-09,3.6294571536429,low,49.7,49.6,Non-metro
North Dakota,Divide County,2022-03-09,3.6294571536429,high,46,40.8,Non-metro
Kansas,Rawlins County,2022-03-09,3.6294571536429,low,46.2,42.8,Non-metro
Wisconsin,Milwaukee County,2022-03-09,2.52,moderate,71.1,63.6,Metro
Nebraska,Adams County,2022-03-09,18.75,high,0,41.8,Non-metro
Illinois,Shelby County,2022-03-09,1.16,moderate,44.5,41.8,Non-metro
Illinois,Edgar County,2022-03-09,1.45,substantial,53.7,48.1,Non-metro
Minnesota,Norman County,2022-03-09,6.78,substantial,65.8,59.8,Non-metro
Minnesota,Douglas County,2022-03-09,4.27,substantial,60.8,57,Non-metro
Illinois,Bond County,2022-03-09,0.55,moderate,58.9,54.9,Metro
Missouri,Dunklin County,2022-03-09,3.3,high,43.5,36.8,Non-metro
Michigan,Van Buren County,2022-03-09,4.59,moderate,56.7,56.8,Metro
Michigan,Genesee County,2022-03-09,5.14,moderate,52.4,50.3,Metro
Missouri,Bates County,2022-03-09,9.6,substantial,43.9,38.5,Metro
Ohio,Pike County,2022-03-09,7.66,substantial,47.7,43.8,Non-metro
Missouri,Henry County,2022-03-09,4.17,substantial,52.2,45.6,Non-metro
Ohio,Ross County,2022-03-09,3.68,substantial,54,50.1,Non-metro
Missouri,St. Clair County,2022-03-09,3.39,moderate,39.2,34.2,Non-metro
Ohio,Scioto County,2022-03-09,3.72,substantial,54.9,48.9,Non-metro
Wisconsin,Ozaukee County,2022-03-11,3.32,substantial,77.5,71.3,Metro
Nebraska,Gage County,2022-03-11,11.76,high,0,44.5,Non-metro
Wisconsin,Winnebago County,2022-03-11,3.57,substantial,65.8,60.7,Metro
Kansas,Ottawa County,2022-03-11,11.11,high,50.5,43.7,Non-metro
Nebraska,Arthur County,2022-03-11,3.6294571536429,low,0,19.4,Non-metro
South Dakota,Aurora County,2022-03-11,0,moderate,63.5,54.1,Non-metro
Wisconsin,Jefferson County,2022-03-11,3.99,substantial,61.2,57.2,Non-metro
Nebraska,Dixon County,2022-03-11,3.6294571536429,low,0,43.5,Metro
South Dakota,Todd County,2022-03-11,1.18,substantial,84.2,67,Non-metro
North Dakota,Towner County,2022-03-11,0,low,50.8,46.9,Non-metro
Indiana,Hamilton County,2022-03-11,3.43,substantial,77.7,70.7,Metro
North Dakota,McHenry County,2022-03-11,0,substantial,46.3,41.6,Non-metro
Nebraska,Chase County,2022-03-11,0,low,0,33.3,Non-metro
Kansas,Seward County,2022-03-11,2.63,low,62.6,45.4,Non-metro
Illinois,Henderson County,2022-03-11,0,moderate,55.9,48.6,Non-metro
South Dakota,Marshall County,2022-03-11,0,moderate,59.6,51.8,Non-metro
Kansas,Lyon County,2022-03-11,2.1,moderate,63.7,56.8,Non-metro
Kansas,Marshall County,2022-03-11,15,high,69.7,64,Non-metro
South Dakota,Day County,2022-03-11,5.88,substantial,76.9,64.7,Non-metro
Nebraska,Blaine County,2022-03-11,3.6294571536429,NA,0,26.2,Non-metro
Michigan,Berrien County,2022-03-11,3.76,moderate,60.7,55.4,Metro
South Dakota,Buffalo County,2022-03-11,3.6294571536429,low,66.7,60.7,Non-metro
North Dakota,Mountrail County,2022-03-11,8.33,substantial,59.8,41.7,Non-metro
North Dakota,Rolette County,2022-03-11,12.55,high,86.1,68.3,Non-metro
Kansas,Wilson County,2022-03-11,5.26,high,48.1,43.4,Non-metro
Kansas,Morton County,2022-03-11,3.6294571536429,low,47.4,41.5,Non-metro
Indiana,Washington County,2022-03-11,4.42,moderate,44.3,39.8,Metro
Nebraska,Wheeler County,2022-03-11,3.6294571536429,NA,0,31.2,Non-metro
South Dakota,Lyman County,2022-03-11,0,low,84.9,64.4,Non-metro
Indiana,Howard County,2022-03-11,2.08,moderate,51.9,46.9,Metro
South Dakota,Gregory County,2022-03-11,0,moderate,58.4,49.9,Non-metro
Missouri,Bates County,2022-03-11,5.84,moderate,43.9,38.5,Metro
Illinois,Lee County,2022-03-11,1.36,moderate,64.5,59.5,Non-metro
South Dakota,Sanborn County,2022-03-11,3.6294571536429,moderate,65.8,54.9,Non-metro
Indiana,Harrison County,2022-03-11,6.37,substantial,56.6,50.3,Metro
Wisconsin,Kewaunee County,2022-03-11,2.72,moderate,54.6,51.8,Metro
Wisconsin,Green Lake County,2022-03-11,2.27,moderate,59.3,55.5,Non-metro
Minnesota,Blue Earth County,2022-03-11,3.61,high,64,60.2,Metro
Nebraska,McPherson County,2022-03-11,3.6294571536429,NA,0,14.4,Non-metro
Kansas,Ness County,2022-03-11,0,moderate,58.5,51.9,Non-metro
Wisconsin,Brown County,2022-03-11,1.92,moderate,69.1,64.5,Metro
Illinois,Wayne County,2022-03-11,2.78,substantial,42.4,39.2,Non-metro
Minnesota,Nicollet County,2022-03-11,4.87,high,65.7,62.3,Metro
Minnesota,Jackson County,2022-03-11,1.27,moderate,55,50.7,Non-metro
Nebraska,Thurston County,2022-03-11,3.6294571536429,NA,85,73,Non-metro
Kansas,Saline County,2022-03-11,0.9,moderate,56.4,50,Non-metro
Indiana,Elkhart County,2022-03-11,3.64,moderate,48.1,42.4,Metro
Nebraska,Hooker County,2022-03-11,3.6294571536429,low,42.2,41.9,Non-metro
Ohio,Champaign County,2022-03-11,4.81,moderate,48.7,45.4,Non-metro
Minnesota,Clearwater County,2022-03-11,2.7,high,44.5,41.6,Non-metro
Michigan,Cass County,2022-03-11,4.49,moderate,49.2,43.1,Metro
South Dakota,Spink County,2022-03-11,0,low,57.8,51.8,Non-metro
Indiana,Floyd County,2022-03-11,4.24,moderate,63.2,56.2,Metro
Indiana,Kosciusko County,2022-03-11,5,moderate,44.8,40.3,Non-metro
Michigan,Calhoun County,2022-03-11,4.25,substantial,52.8,51.8,Metro
Nebraska,Perkins County,2022-03-11,3.6294571536429,low,41.1,40.6,Non-metro
Nebraska,Garfield County,2022-03-11,3.6294571536429,NA,0,29.9,Non-metro
Nebraska,Jefferson County,2022-03-11,0,low,56.2,55,Non-metro
Ohio,Clark County,2022-03-11,3.17,moderate,56.1,52.5,Metro
South Dakota,Charles Mix County,2022-03-11,6.17,substantial,70.5,53.6,Non-metro
Kansas,Washington County,2022-03-11,14.29,high,58.4,53.7,Non-metro
Illinois,Moultrie County,2022-03-11,2.04,moderate,46.9,43.8,Non-metro
Minnesota,Nobles County,2022-03-11,3.7,high,65.8,60.7,Non-metro
Nebraska,Dundy County,2022-03-11,0,low,41.3,38.9,Non-metro
Illinois,Vermilion County,2022-03-11,1.04,low,50,45.2,Metro
Nebraska,Keith County,2022-03-11,17.39,high,0,37.5,Non-metro
Wisconsin,Dodge County,2022-03-11,1.66,moderate,55.6,51.8,Non-metro
Indiana,Crawford County,2022-03-11,8.33,substantial,41.2,36.9,Non-metro
Indiana,Clark County,2022-03-11,4.22,substantial,68.9,59.8,Metro
South Dakota,Edmunds County,2022-03-11,18.75,high,54.2,45.6,Non-metro
Wisconsin,Washington County,2022-03-11,2.09,moderate,61.6,57.3,Metro
Illinois,Winnebago County,2022-03-11,2.42,substantial,63.7,57.6,Metro
Nebraska,Dakota County,2022-03-11,12.5,high,71.5,63.5,Metro
Nebraska,Custer County,2022-03-11,14.29,high,38,37.8,Non-metro
Minnesota,Cottonwood County,2022-03-11,1.03,high,58.9,55.6,Non-metro
Missouri,Henry County,2022-03-11,5.46,substantial,52.3,45.6,Non-metro
Illinois,Boone County,2022-03-11,2.1,substantial,66.6,60.8,Metro
Minnesota,Waseca County,2022-03-11,2.71,high,59.9,56.8,Non-metro
Kansas,Greenwood County,2022-03-11,4,substantial,53.7,49.1,Non-metro
Kansas,Lincoln County,2022-03-11,3.6294571536429,substantial,47.3,43.6,Non-metro
Wisconsin,Waushara County,2022-03-11,1.19,moderate,47.6,44.6,Non-metro
Indiana,Madison County,2022-03-11,2.63,moderate,57.1,52,Metro
Illinois,Hamilton County,2022-03-11,2.27,moderate,42.8,38.9,Non-metro
Missouri,St. Clair County,2022-03-11,0.97,moderate,39.2,34.2,Non-metro
Wisconsin,Walworth County,2022-03-11,3.3,moderate,59.4,53.6,Non-metro
Indiana,Tipton County,2022-03-11,2.65,moderate,49,44.8,Non-metro
North Dakota,Pierce County,2022-03-11,7.69,moderate,49.9,45,Non-metro
Missouri,Cedar County,2022-03-11,1.9,moderate,35.8,31.8,Non-metro
Nebraska,Lancaster County,2022-03-11,3.86,low,70.9,66.1,Metro
South Dakota,Davison County,2022-03-11,3.54,moderate,78.8,60.6,Non-metro
Nebraska,Butler County,2022-03-11,0,low,51.4,51,Non-metro
Nebraska,Valley County,2022-03-11,3.6294571536429,low,0,32.8,Non-metro
South Dakota,Douglas County,2022-03-11,3.6294571536429,high,62.3,51.5,Non-metro
Nebraska,Lincoln County,2022-03-11,7.58,moderate,0,32.9,Non-metro
Kansas,Chase County,2022-03-11,0,moderate,50.8,45.9,Non-metro
Minnesota,Murray County,2022-03-11,5.26,substantial,58,54.3,Non-metro
Nebraska,Hayes County,2022-03-11,3.6294571536429,low,0,25.5,Non-metro
Wisconsin,Oconto County,2022-03-11,0.74,moderate,55.9,52.9,Metro
Illinois,Piatt County,2022-03-11,1.05,substantial,66.4,61.7,Metro
South Dakota,Brown County,2022-03-11,10.32,high,66.5,56.1,Non-metro
Wisconsin,Door County,2022-03-11,1.63,moderate,84.1,77.7,Non-metro
Kansas,Ellsworth County,2022-03-11,0,low,59.3,56,Non-metro
Missouri,Linn County,2022-03-11,0,high,53.6,45.6,Non-metro
Indiana,Fountain County,2022-03-11,1.76,moderate,51.6,46.4,Non-metro
North Dakota,Bottineau County,2022-03-11,6.67,substantial,57.6,49.8,Non-metro
North Dakota,Burke County,2022-03-11,0,substantial,44.1,38.9,Non-metro
Indiana,Lawrence County,2022-03-11,4.34,moderate,54,49,Non-metro
Michigan,Barry County,2022-03-11,3.48,moderate,50.1,48.7,Metro
North Dakota,Renville County,2022-03-11,3.6294571536429,substantial,43.8,38.5,Non-metro
South Dakota,Tripp County,2022-03-11,0,low,51.1,44.3,Non-metro
Indiana,Warren County,2022-03-11,3.85,moderate,50.2,45.4,Non-metro
Nebraska,Seward County,2022-03-11,8.11,substantial,50.1,50,Metro
Nebraska,Saline County,2022-03-11,0,low,0,52.1,Non-metro
South Dakota,Faulk County,2022-03-11,0,substantial,61.9,54.6,Non-metro
South Dakota,Hanson County,2022-03-11,3.6294571536429,moderate,55.1,42.5,Non-metro
Illinois,Macon County,2022-03-11,1.84,substantial,57.4,53,Metro
Nebraska,Boyd County,2022-03-11,3.6294571536429,low,35.3,34.9,Non-metro
Indiana,Orange County,2022-03-11,2.65,moderate,60.8,55.1,Non-metro
Indiana,Scott County,2022-03-11,7.92,substantial,48.2,43.6,Metro
Nebraska,Thomas County,2022-03-11,3.6294571536429,NA,0,24.7,Non-metro
Minnesota,Beltrami County,2022-03-11,7.12,high,74.3,66.7,Non-metro
Wisconsin,Waukesha County,2022-03-11,3.74,substantial,75.7,69.5,Metro
Illinois,Ogle County,2022-03-11,2.23,substantial,62.6,57.6,Non-metro
Indiana,Cass County,2022-03-11,6.64,high,50.6,45.1,Non-metro
Minnesota,Watonwan County,2022-03-11,8,high,60.7,58.1,Non-metro
Kansas,Coffey County,2022-03-11,6.06,substantial,59,52.9,Non-metro
Missouri,Vernon County,2022-03-11,3.2,moderate,39.8,34.7,Non-metro
South Dakota,McPherson County,2022-03-11,0,low,43.2,40.1,Non-metro
North Dakota,Ward County,2022-03-11,5.71,substantial,57.4,48.6,Non-metro
South Dakota,Brule County,2022-03-11,0,moderate,77.8,54.8,Non-metro
South Dakota,Mellette County,2022-03-11,0,low,42.6,35,Non-metro
Nebraska,Loup County,2022-03-11,3.6294571536429,NA,29.8,29.7,Non-metro
Wisconsin,Milwaukee County,2022-03-11,2.46,moderate,71.1,63.6,Metro
Wisconsin,Fond du Lac County,2022-03-11,2.79,moderate,60.2,55.2,Metro
Illinois,Shelby County,2022-03-11,2.54,substantial,44.4,41.8,Non-metro
Illinois,Edgar County,2022-03-11,0.79,substantial,53.7,48.1,Non-metro
Nebraska,Logan County,2022-03-11,3.6294571536429,NA,0,21.9,Non-metro
Michigan,Van Buren County,2022-03-11,4.7,moderate,56.7,56.8,Metro
Illinois,White County,2022-03-11,0.21,moderate,57.3,51.6,Non-metro
Illinois,Jefferson County,2022-03-11,3.61,substantial,52,46.5,Non-metro
Missouri,Howard County,2022-03-11,2.42,moderate,49.5,42.9,Non-metro
Ohio,Knox County,2022-03-11,1.83,moderate,45.4,42.8,Non-metro
Missouri,Jasper County,2022-03-11,4.27,moderate,54.6,47,Metro
Missouri,Crawford County,2022-03-11,1.53,moderate,38,33.2,Non-metro
Minnesota,Lincoln County,2022-03-11,2.17,high,55.6,52.8,Non-metro
Kansas,Osborne County,2022-03-11,0,moderate,45.4,41.7,Non-metro
Michigan,Kalkaska County,2022-03-11,6.99,substantial,48.4,46.5,Non-metro
Kansas,Hamilton County,2022-03-11,3.6294571536429,low,47.4,41,Non-metro
Wisconsin,Chippewa County,2022-03-11,3.26,substantial,60,56.5,Metro
