state,county,Date,positive_pct,transmission_level,dose_1_pct,fully_pct,metro
Ohio,Champaign County,2022-03-09,6.17,substantial,48.7,45.4,Non-metro
Indiana,Blackford County,2022-03-09,3.05,substantial,51,46.1,Non-metro
Indiana,Delaware County,2022-03-09,5.18,substantial,52.8,48,Metro
Michigan,Jackson County,2022-03-09,3.81,moderate,52.7,52.1,Metro
Nebraska,Garfield County,2022-03-09,3.6294571536429,NA,0,29.9,Non-metro
Nebraska,Jefferson County,2022-03-09,0,low,56.2,55,Non-metro
Nebraska,Johnson County,2022-03-09,3.6294571536429,low,0,54.2,Non-metro
Ohio,Clark County,2022-03-09,3.3,moderate,56.1,52.4,Metro
Michigan,Mason County,2022-03-09,9.09,substantial,61,60.2,Non-metro
Illinois,Union County,2022-03-09,1.41,moderate,62.1,56.3,Non-metro
Ohio,Mercer County,2022-03-09,4.67,moderate,40.2,38,Non-metro
Missouri,Ripley County,2022-03-09,1.91,moderate,34.6,29,Non-metro
Indiana,Clark County,2022-03-09,5.69,substantial,68.9,59.7,Metro
Illinois,Williamson County,2022-03-09,2.22,substantial,60.5,55,Metro
Ohio,Fayette County,2022-03-09,1.12,moderate,46.4,43.2,Non-metro
Nebraska,Custer County,2022-03-09,3.6294571536429,high,38,37.8,Non-metro
Kansas,Wallace County,2022-03-09,3.6294571536429,low,38.9,37.2,Non-metro
Michigan,Branch County,2022-03-09,3.25,substantial,47.3,44.8,Non-metro
Illinois,Alexander County,2022-03-09,1.64,moderate,39.6,32.7,Metro
Kansas,Greenwood County,2022-03-09,7.14,high,53.6,49,Non-metro
Kansas,Marion County,2022-03-09,1.35,moderate,55,48.6,Non-metro
Kansas,Leavenworth County,2022-03-09,5.48,substantial,69.8,58.1,Metro
Kansas,Cowley County,2022-03-09,1.11,substantial,55,47.8,Non-metro
Indiana,Madison County,2022-03-09,2.85,moderate,57.1,51.9,Metro
Kansas,Harvey County,2022-03-09,4.26,high,52.6,46.2,Metro
Michigan,Hillsdale County,2022-03-09,4.19,moderate,40.1,38.2,Non-metro
Ohio,Clinton County,2022-03-09,3.88,moderate,52.6,48.6,Non-metro
Indiana,Randolph County,2022-03-09,3.39,moderate,50.8,45,Non-metro
Illinois,Pulaski County,2022-03-09,1.65,substantial,49.2,42,Non-metro
Indiana,Parke County,2022-03-09,0.88,moderate,43.4,39.4,Non-metro
Wisconsin,Trempealeau County,2022-03-09,3.41,substantial,70,65.6,Non-metro
Michigan,Grand Traverse County,2022-03-09,6.5,substantial,69.9,67,Non-metro
Nebraska,Lancaster County,2022-03-09,4.13,low,70.9,66.1,Metro
Nebraska,Butler County,2022-03-09,0,low,51.4,51,Non-metro
Nebraska,Valley County,2022-03-09,3.6294571536429,low,0,32.8,Non-metro
Kansas,Sherman County,2022-03-09,0,moderate,48.2,43.9,Non-metro
Michigan,Sanilac County,2022-03-09,4.68,moderate,44,42.5,Non-metro
Ohio,Williams County,2022-03-09,2.47,moderate,48.1,44.5,Non-metro
Kansas,Chase County,2022-03-09,0,low,50.7,45.8,Non-metro
Indiana,Sullivan County,2022-03-09,2.25,moderate,54,49.1,Metro
Ohio,Pickaway County,2022-03-09,2.33,substantial,53.6,50.1,Metro
Minnesota,Otter Tail County,2022-03-09,4.14,high,55,50.3,Non-metro
Kansas,Greeley County,2022-03-09,3.6294571536429,low,54.5,51.1,Non-metro
Ohio,Jefferson County,2022-03-09,5.79,substantial,55.2,49.9,Metro
Ohio,Highland County,2022-03-09,10.74,high,40.7,37.6,Non-metro
Minnesota,Dodge County,2022-03-09,4.94,high,62.6,60.1,Metro
Minnesota,Houston County,2022-03-09,4.51,high,69.1,58.8,Metro
Indiana,Lawrence County,2022-03-09,3.44,moderate,54,49,Non-metro
Minnesota,Fillmore County,2022-03-09,3.31,high,73,68,Metro
Nebraska,Seward County,2022-03-09,8.33,substantial,50.1,50,Metro
Kansas,Butler County,2022-03-09,1.47,high,55.9,48.1,Metro
Illinois,Marion County,2022-03-09,1.44,moderate,49,45.4,Non-metro
Missouri,Stoddard County,2022-03-09,1.46,moderate,45.1,39.3,Non-metro
Michigan,Leelanau County,2022-03-09,4.08,moderate,87.7,81.6,Non-metro
Nebraska,Saline County,2022-03-09,4.55,low,0,52.1,Non-metro
Ohio,Columbiana County,2022-03-09,2.37,moderate,52.5,48.7,Non-metro
Missouri,Butler County,2022-03-09,1.37,moderate,40.5,34.1,Non-metro
Indiana,Orange County,2022-03-09,2.27,moderate,60.8,55.1,Non-metro
Michigan,Newaygo County,2022-03-09,5.99,moderate,54.49181,44.4,Non-metro
Ohio,Harrison County,2022-03-09,3.88,moderate,45.9,42.7,Non-metro
Indiana,Scott County,2022-03-09,9.16,substantial,48.2,43.6,Metro
Nebraska,Thomas County,2022-03-09,3.6294571536429,NA,0,24.7,Non-metro
Minnesota,Wabasha County,2022-03-09,3.17,high,79.5,72.8,Metro
Illinois,DuPage County,2022-03-09,1.72,substantial,83.7,76.6,Metro
Indiana,Vigo County,2022-03-09,4.65,moderate,54.5,49.2,Metro
Missouri,Bollinger County,2022-03-09,0,high,37,32.8,Metro
Kansas,Thomas County,2022-03-09,3.33,moderate,46.1,41.1,Non-metro
Missouri,Carter County,2022-03-09,6.9,substantial,39.2,32.2,Non-metro
Kansas,Mitchell County,2022-03-09,1.72,moderate,55.8,53.1,Non-metro
Kansas,Coffey County,2022-03-09,6.38,high,58.9,52.9,Non-metro
Michigan,Ottawa County,2022-03-09,5.15,moderate,58.1,57.2,Metro
Minnesota,Steele County,2022-03-09,2.31,moderate,63.9,60.5,Non-metro
Missouri,Cape Girardeau County,2022-03-09,4.5,high,55.6,48.4,Metro
Illinois,McHenry County,2022-03-09,2.29,substantial,73.2,66.6,Metro
Wisconsin,La Crosse County,2022-03-09,6.13,high,73.4,68.4,Metro
Nebraska,Loup County,2022-03-09,3.6294571536429,NA,29.8,29.5,Non-metro
Kansas,Jewell County,2022-03-09,0,substantial,49.9,46.3,Non-metro
Indiana,Vermillion County,2022-03-09,9.23,substantial,52,46.3,Metro
Wisconsin,Crawford County,2022-03-09,2.5,moderate,61.8,58,Non-metro
Ohio,Paulding County,2022-03-09,5.22,moderate,44.8,41.8,Non-metro
Missouri,Mississippi County,2022-03-09,2.78,high,48.4,42.8,Non-metro
Nebraska,Logan County,2022-03-09,3.6294571536429,NA,0,21.9,Non-metro
Ohio,Franklin County,2022-03-09,2.41,moderate,67.8,63.7,Metro
Ohio,Defiance County,2022-03-09,1.73,substantial,51.3,48.8,Non-metro
Missouri,Scott County,2022-03-09,5.36,high,49.3,43.1,Non-metro
Ohio,Medina County,2022-03-09,2.55,moderate,66.7,63.6,Metro
Missouri,Jasper County,2022-03-09,5.05,moderate,54.6,46.9,Metro
Michigan,Charlevoix County,2022-03-09,1.28,moderate,66.3,63.7,Non-metro
Illinois,LaSalle County,2022-03-09,1.69,substantial,63.5,57.8,Non-metro
Minnesota,Traverse County,2022-03-09,0,substantial,68,63,Non-metro
Ohio,Clermont County,2022-03-09,3.34,moderate,60.1,56.4,Metro
Illinois,Crawford County,2022-03-09,1.24,substantial,56.5,50.9,Non-metro
Wisconsin,Waupaca County,2022-03-09,1.4,moderate,56.9,54,Non-metro
Nebraska,Greeley County,2022-03-09,3.6294571536429,low,0,40.3,Non-metro
Nebraska,Hall County,2022-03-09,5.95,moderate,49.2,48.5,Metro
Michigan,Mecosta County,2022-03-09,5.54,substantial,41.8,41.6,Non-metro
Kansas,Pottawatomie County,2022-03-09,10.2,high,46.2,40.9,Metro
Minnesota,Big Stone County,2022-03-09,3.85,substantial,66.8,62.8,Non-metro
North Dakota,Stark County,2022-03-09,3.76,substantial,43.2,36,Non-metro
Wisconsin,Outagamie County,2022-03-09,2.94,moderate,68.7,63.7,Metro
Ohio,Summit County,2022-03-09,2.3,moderate,66.9,62.8,Metro
Kansas,Dickinson County,2022-03-09,1.46,moderate,65,55.7,Non-metro
Illinois,Morgan County,2022-03-09,0.89,substantial,59,54.4,Non-metro
Minnesota,Renville County,2022-03-09,4.91,substantial,57.7,54.5,Non-metro
Michigan,Ionia County,2022-03-09,7.14,substantial,47.2,46.9,Non-metro
Wisconsin,Bayfield County,2022-03-09,4.44,high,90.8,81.3,Non-metro
Illinois,Douglas County,2022-03-09,0.25,moderate,52.9,48.4,Non-metro
Kansas,Decatur County,2022-03-09,3.6294571536429,high,42.8,39.9,Non-metro
Nebraska,Red Willow County,2022-03-09,0,low,0,36.8,Non-metro
Indiana,Greene County,2022-03-09,2.79,moderate,45.4,40.9,Non-metro
Wisconsin,Racine County,2022-03-09,2.14,moderate,65.8,60.2,Metro
Indiana,Pike County,2022-03-09,3,moderate,62.8,57.1,Non-metro
Nebraska,Howard County,2022-03-09,0,low,0,42,Metro
Wisconsin,Juneau County,2022-03-09,0.6,moderate,57.6,53.1,Non-metro
Kansas,Riley County,2022-03-09,2.99,low,44.3,38.9,Metro
Ohio,Mahoning County,2022-03-09,3,moderate,61,56.5,Metro
Indiana,Brown County,2022-03-09,1.88,moderate,56.8,50.4,Metro
Wisconsin,Ashland County,2022-03-09,2.87,substantial,79.9,70.9,Non-metro
Wisconsin,Shawano County,2022-03-09,2.81,moderate,56.8,53.2,Non-metro
North Dakota,Golden Valley County,2022-03-09,0,substantial,37.4,29.9,Non-metro
Kansas,Linn County,2022-03-09,3.39,moderate,39.3,35,Metro
Kansas,Jackson County,2022-03-09,3.1,moderate,70.3,63.6,Metro
Wisconsin,Burnett County,2022-03-09,4,substantial,64.4,56.6,Non-metro
Kansas,Shawnee County,2022-03-09,2.92,substantial,69.7,60.9,Metro
Ohio,Brown County,2022-03-09,6.67,moderate,43.7,40.6,Metro
Kansas,Nemaha County,2022-03-09,4.18,moderate,57.7,53.9,Non-metro
Michigan,Montcalm County,2022-03-09,4.85,substantial,42.1,42.2,Metro
